ChiSqrHorizontalRelativeVolume;ChiSqrVerticalRelativeVolume;RsRelativeVolume;KzhaHorizontalThreshold;KzhaHorizontalBitsVolume;KzhaVerticalThreshold;KzhaVerticalBitsVolume;PixelsNum;IsDataHided
0;0;0,012759191314886509;0;0;0;0;524288;False
0,001953125;0,001953125;0,327739466;0;0;0;0;524288;True
0;0;0;0;0;0;0;581400;False
0;0;0,003196717;0;0;0;0;524288;False
0,001474926;0,001474926;0,2293054832323845;0;0;0;0;691560;True
0,002949853;0,002949853;0,018010857862351373;0;0;0;0;691560;False
0;0;0,3240910390499045;0;0;0;0;699392;True
0;0;0,002167771;0;0;0;0;2097152;False
0;0;0,001566574;0;0;0;0;2097152;False
0,340820313;0,340820313;0,17636452497186964;0;0;0;0;2097152;True
0;0;0,34413982054123676;0;0;0;0;6552644;False
0,4609375;0,4609375;0,2595104108117806;0;0;0;0;16384;True
0,051612903;0,051612903;0,035582958501931154;0;0;0;0;50530;False
0;0;0,045617129;0;0;0;0;50369;False
0,075;0,075;0,081160865;0;0;0;0;307200;True
0;0;0,3041736079073613;0;0;0;0;262144;True
0,002083333;0,002083333;0,39540026637199716;0;0;0;0;307200;True
0,01171875;0,01171875;0,043790047842920475;0;0;0;0;262144;False
0;0;0,5727268680468868;0;0;0;0;524288;True
0;0;0,005252762;0;0;0;0;524288;False
0;0;0,42979711782911956;0;0;0;0;524288;True
0,001953125;0,001953125;0,3666805136930565;0;0;0;0;524288;True
0;0;0,028642208296226615;0;0;0;0;524288;False
0;0;0,003533215;0;0;0;0;524288;False
0,0078125;0,0078125;0,26045344360469036;0;0;0;0;524288;True
0,004901961;0,004901961;0,041706428;61,02354599963998;28;61,02354599963998;1739;691560;True
0;0;0,003282002;0;0;0;0;691560;False
0,008849558;0,008849558;0,026900815183530494;84,62001301889309;13;75,07520251349297;1080;691560;True
0,047619047619047616;0,047619047619047616;0,004990955;0;0;0;0;728280;False
0,20353982300884957;0,20353982300884957;0,8068649500114349;0;0;0;0;691560;True
0;0;0;0;0;0;0;2097152;False
0,6865671641791045;0,6865671641791045;0,1611666944043477;0;0;0;0;50384;True
0,425531915;0,425531915;0,4490413537905204;0;0;0;0;50384;True
0;0;0,015221834;62,03723068259912;1608;83,74524591573942;26;262144;True
0;0;0,253920785;0;0;0;0;524288;True
0,018716578;0,018716578;0,006786012;0;0;0;0;187000;False
0,20190023752969122;0,20190023752969122;0;0;0;0;0;210500;False
0;0;0,005277346;0;0;0;0;524288;False
0;0;0,3042476249433403;0;0;0;0;524288;True
0,705078125;0,705078125;0,17443084464908284;0;0;0;0;524288;True
0;0;0,000315294;0;0;0;0;524288;False
0,021484375;0,021484375;0,8243488287599047;0;0;0;0;524288;True
0;0;0,008920967;0;0;0;0;524288;False
0;0;0,021234870243003374;0;0;0;0;605880;False
0,042857143;0,042857143;0,8519723248797201;0;0;0;0;642600;True
0,007861635;0,007861635;0,033978780074923505;0;0;0;0;648720;False
0;0;0,011146930226507633;79,15409278646732;103;60,296828833453304;8960;709920;True
0;0;0,072941542;0;0;0;0;691560;False
0;0;0,003269539;0;0;0;0;838440;False
0,6253687315634219;0,6253687315634219;0,18310342656772302;0;0;0;0;691560;True
0;0;0,005217368;0;0;0;0;2097152;False
0,2109375;0,2109375;0,10087006134530842;0;0;0;0;16384;False
0;0;0,12582219891917254;0;0;0;0;50625;False
0,1992619926199262;0,1992619926199262;0,068134622;0;0;0;0;50406;False
0,002673797;0,002673797;0,028417004711108185;0;0;0;0;187000;False
0,029166666666666667;0,029166666666666667;0,19255669045390136;0;0;0;0;307200;True
0;0;0,006208531;0;0;0;0;307200;False
0,04375;0,04375;0,021035611;0;0;0;0;307200;False
0,002083333;0,002083333;0,49429152219197325;0;0;0;0;307200;True
0,12549019607843137;0,12549019607843137;0,5265203737301472;0;0;0;0;691560;True
0,061403509;0,061403509;0,060232439;0;0;0;0;581400;False
1;1;0,8767461133870175;0;0;0;0;524288;True
0;0;0,064339589;41,870719399547845;3616;54,71526738;29;691560;True
0,700589971;0,700589971;0,15613138311113808;0;0;0;0;691560;True
0;0;0,004132328;0;0;0;0;691560;False
0;0;0,3096903816899525;0;0;0;0;624240;True
0,013274336;0,013274336;0,041177906695602715;0;0;0;0;691560;False
0,002949853;0,002949853;0,008026458;0;0;0;0;691560;False
0;0;0,002990502;0;0;0;0;2097152;False
0;0;0,000698164;0;0;0;0;2097152;False
0;0;0;84,35917883370375;98;43,57298314161332;12440;2097152;True
0,09375;0,09375;0,37711160656701437;0;0;0;0;16384;False
0,3359375;0,3359375;0,040888974;0;0;0;0;16384;False
0,34375;0,34375;0,096851964;0;0;0;0;16384;False
0,066066066;0,066066066;0,049740876;0;0;0;0;166500;True
0,716796875;0,716796875;0,21054067128332232;0;0;0;0;262144;True
0;0;0,38897754161117454;0;0;0;0;307200;True
0,6625;0,6625;0,14387820652184194;0;0;0;0;307200;True
0;0;0,027819766859924492;43,37438461619207;32;38,95341315524763;1393;307200;True
0;0;0,000499147;0;0;0;0;262144;False
0,077083333;0,077083333;0;67,96451331663759;4784;67,96451331663759;3899;307200;True
0;0;0,030627814359671896;0;0;0;0;262144;False
0,9453125;0,9453125;0,2069436325249914;0;0;0;0;524288;True
0,000980392;0,000980392;0,032630420641199795;84,50600685203237;66;45,99199428;8376;691560;True
0;0;0,2008663671171692;49,22053892837649;101;48,89615601718713;8472;691560;True
0,001474926;0,001474926;0,2296315828942447;0;0;0;0;691560;False
0,002949853;0,002949853;0,069841662;42,629195686807996;2335;43,55585648890486;49;691560;True
0,004424779;0,004424779;0,038618910175562494;0;0;0;0;691560;False
0,050147493;0,050147493;0;0;0;0;0;691560;False
0;0;0,004434578;0;0;0;0;2097152;False
0;0;0,49275976530294163;0;0;0;0;2097152;True
1;1;0,21578801466156391;0;0;28,694680398768988;9;217000;True
0;0;0;0;0;0;0;307200;False
0,064583333;0,064583333;0,067321229;0;0;0;0;307200;False
0;0;0,28848990254029333;0;0;0;0;524288;True
0,34765625;0,34765625;0,21000929030782003;0;0;0;0;262144;True
0,029296875;0,029296875;0,3810864940166159;0;0;0;0;524288;True
0,2345132743362832;0,2345132743362832;0;0;0;0;0;691560;True
0;0;0,47404922327878385;0;0;0;0;524288;True
0;0;0,026957781;0;0;0;0;524288;False
0;0;0,6774598884938111;0;0;0;0;524288;True
0;0;0,045909428;67,40739584193024;1208;73,18487321906035;10;654840;True
0,035294118;0,035294118;0,1090966781377115;0;0;0;0;691560;False
0,091445428;0,091445428;0,8205025758174465;0;0;0;0;691560;True
1;1;0,8693587732565476;0;0;0;0;838440;True
0;0;0,088040136;0;0;0;0;691560;False
0;0;0,18452686935079732;0;0;0;0;783360;False
0;0;0,273049527;0;0;0;0;697680;False
0;0;0,1559676961293125;74,88192941929226;58;73,45145219020363;13;691560;True
0;0;0,007993947;53,05150501426336;13896;84,08211882158973;55;2097152;True
0,006835938;0,006835938;0,7427402913514086;0;0;0;0;2097152;True
1;1;0,099983076;0;0;0;0;16384;True
0,020408163;0,020408163;0,036351543;0;0;0;0;50470;False
0,00390625;0,00390625;0,035003398;0;0;0;0;262144;False
0;0;0,080198074;0;0;0;0;307200;True
0;0;0,006481211;0;0;0;0;262144;False
0,013274336;0,013274336;0,017934226027598005;48,41830883782237;34;59,60055880274107;2688;691560;True
0,03125;0,03125;0,4721617155549385;0;0;0;0;524288;True
0,004115226;0,004115226;0,023258919636498638;0;0;0;0;495720;False
0;0;0,048113393738631854;0;0;0;0;524288;True
0;0;0,003483792;0;0;0;0;524288;False
0,020833333333333332;0,020833333333333332;0,003384966;0;0;0;0;307200;False
0;0;0,018242566;0;0;0;0;524288;False
0,000980392;0,000980392;0,3175256694300097;0;0;0;0;691560;True
0;0;0,003758098;0;0;0;0;697680;False
0,782258065;0,782258065;0,2079046594801798;0;0;0;0;758880;True
0,001302083;0,001302083;0,20749990382790606;0;0;0;0;783360;True
0;0;0,003257481;0;0;0;0;2097152;False
0;0;0,6188029719778164;0;0;0;0;2097152;True
0;0;0,05008944;0;0;0;0;2097152;True
0,825;0,825;0,8642909796950417;0;0;0;0;2304000;True
0,2265625;0,2265625;0,5071263349773852;0;0;0;0;16384;True
0,18666666666666668;0,18666666666666668;0,11141995481122295;0;0;0;0;50625;False
0;0;0,021508767944304185;0;0;0;0;176710;False
0,00811359;0,00811359;0,0079567;0;0;0;0;246007;False
0,002083333;0,002083333;0,004324174;0;0;0;0;307200;False
0;0;0,00331111;0;0;0;0;262144;False
0,09765625;0,09765625;0,008053674;14,837693997076292;0;0;0;262144;False
0;0;0,004157136;0;0;0;0;524288;False
0;0;0,000421018;0;0;0;0;524288;False
0,004464286;0,004464286;0,8084940325575989;0;0;0;0;685440;True
0,001474926;0,001474926;0,000970127;0;0;0;0;691560;False
0,00390625;0,00390625;0,45776424094159585;0;0;0;0;783360;True
0;0;0,000467027;0;0;0;0;691560;False
0,001960784;0,001960784;0,03159918;0;0;0;0;691560;False
0;0;0;0;0;0;0;691560;False
