ChiSqrHorizontalRelativeVolume;ChiSqrVerticalRelativeVolume;RsRelativeVolume;KzhaHorizontalThreshold;KzhaHorizontalBitsVolume;KzhaVerticalThreshold;KzhaVerticalBitsVolume;PixelsNum;IsDataHided
0;0;0,20416832730128145;0;0;0;0;2766240;True
0,2581120943952802;0,2581120943952802;0,24384052552942037;0;0;0;0;2766240;True
0;0;0,10263834203952478;0;0;0;0;4088160;False
1;1;0,8469130631624733;0;0;0;0;3353760;True
0;0;0,020359913;60,529518893612504;198;84,64858679908166;15;3732480;True
0;0;0,23696455992508855;0;0;0;0;3720960;True
0,000444444;0,000444444;0,02877528;0;0;0;0;6750000;False
0,001818182;0,001818182;0,071700481;73,13309511;8;0;0;7260000;False
0;0;0,010835555659231888;0;0;0;0;15437690;False
0,001;0,001;0,20191724776775258;0;0;0;0;12000000;True
0;0;0,007350835;0;0;0;0;13557120;False
0;0;0,10213967513246412;66,87908878339637;267;64,46948366862729;345;12192768;True
0;0;0,024642131;0;0;71,96178330204047;9;16685000;False
0;0;0,003263633;0;0;0;0;15360000;False
0;0;0,015420477361649166;0;0;0;0;23789568;True
0,002;0,002;0,005302537;0;0;0;0;2250000;False
0,008849558;0,008849558;0;0;0;0;0;2766240;True
0,014011799410029498;0,014011799410029498;0,054932324;0;0;0;0;2766240;False
0;0;0,004141118;84,54850848147062;40;54,25245026621394;9884;2766240;True
0,016276041666666668;0,016276041666666668;0,026900292988841574;0;0;0;0;3133440;False
0,6836283185840708;0,6836283185840708;0,1758348582704654;0;0;0;0;2766240;True
0;0;0,15129390908231186;0;0;0;0;2766240;False
0,3958333333333333;0,3958333333333333;0,6876075540242222;0;0;0;0;3133440;True
0;0;0,011539419591802304;0;0;0;0;3520000;False
0,002314815;0,002314815;0,062289072718662054;69,71391609199244;13208;76,64540441;64;3583440;True
0,003255208;0,003255208;0,015019413853781013;0;0;0;0;3133440;False
0;0;0,002827339;0;0;0;0;3818880;False
0;0;0,4913083083778836;0;0;0;0;2626560;False
0,000925926;0,000925926;0,00015999;0;0;0;0;4054320;False
0,014011799410029498;0,014011799410029498;0,011759693139837615;69,66559377566404;192;59,85741008;32440;2766240;True
0,005859375;0,005859375;0,3028917203771379;0;0;0;0;3133440;True
0,001809409;0,001809409;5,897952689274975E-05;0;0;0;0;4244480;False
0;0;0,19069727194921474;0;0;0;0;12979200;True
0;0;0,12326788196805737;58,74425389374545;37888;68,63207030073266;98;12979200;True
0;0;0,066553939;0;0;0;0;12377337;False
0;0;0,8192809254228691;49,44535379877137;232;47,54899300897163;807;2717280;True
0,006637168;0,006637168;0,007206353;0;0;0;0;2766240;False
0;0;0,12495877868327193;42,55218388154393;150;40,308869181545916;28760;3145728;True
0,006637168;0,006637168;0,40223663058598436;0;0;0;0;2766240;True
0,003003003;0,003003003;0,1001399178031714;0;0;0;0;2717280;True
0,000651042;0,000651042;0,23407233489510634;0;0;0;0;3133440;True
0;0;0,02345456;48,78380253249435;14160;80,05370838570205;57;3133440;True
0,024336283185840708;0,024336283185840708;0,28929647743886394;0;0;0;0;2766240;True
0,006018519;0,006018519;0,2884586148328394;0;0;0;0;3583440;True
0,002212389;0,002212389;0,5997783761648705;0;0;0;0;2766240;True
0,906641604;0,906641604;0;0;0;0;0;3255840;True
0,001474926;0,001474926;0,5023761514446571;0;0;0;0;2766240;True
0,005;0,005;0,005664231;0;0;0;0;4320000;False
0;0;0,00295467;0;0;0;0;7368960;False
0,000234082;0,000234082;0,47113177572917725;0;0;0;0;12166656;True
0,20006613756613756;0,20006613756613756;0,14315672181536518;0;0;0;0;12192768;True
0;0;0,060749241;0;0;0;0;10712000;False
0;0;0,111702588;0;0;0;0;15054336;True
0,000296296;0,000296296;0,019212643228107746;0;0;0;0;20250000;False
0;0;0,12603676348113102;0;0;0;0;21309926;False
0,005263158;0,005263158;0,11393092355701535;0;0;0;0;2325600;False
0,031914893617021274;0,031914893617021274;0,19471092271492382;0;0;0;0;2301120;False
0;0;0,010469505526499038;0;0;0;0;2400000;False
0,003687316;0,003687316;0,144627166;0;0;0;0;2766240;True
0;0;0,067260216;0;0;0;0;3145728;False
0,018436578171091445;0,018436578171091445;0,1331849223050314;47,00859587;6956;54,07660794884518;118;2766240;True
0;0;0,07818111;0;0;0;0;3623040;True
0,000490196;0,000490196;0;0;0;0;0;2741760;False
0;0;0,10286300060865568;58,07503240064243;60;0;0;3206880;True
0;0;0,11571731726108747;0;0;148,9244811546846;12;2766240;False
0,4885057471264368;0,4885057471264368;0,13721256218802802;0;0;0;0;3549600;True
0,5943952802359882;0,5943952802359882;0,6821511136222694;0;0;0;0;2766240;True
0,000737463;0,000737463;0,046436847;0;0;0;0;2766240;False
0,011642156862745098;0,011642156862745098;0,012598915678853474;50,52458507;32864;80,23626408;129;3329280;True
0;0;0,2179950535684041;0;0;0;0;4357120;True
0;0;0,01931028;0;0;0;0;3133440;False
0,000895255;0,000895255;0,4148055213305381;0;0;0;0;7075078;True
0;0;0,143455171;56,74351097918518;308;56,43106522;16023;12000000;True
0;0;0,13081463863103548;47,47591111877074;3527;58,62897895108824;217;12192768;True
0;0;0,011269011269326423;0;0;0;0;12979200;False
0,003367003;0,003367003;0,040692853;59,291080143448234;20880;48,82140412793751;83;2423520;True
0,026548673;0,026548673;0,4152914001766901;0;0;0;0;2766240;True
0,005899705;0,005899705;0,7369099848036132;0;0;0;0;2766240;True
0;0;0,069058775;0;0;0;0;2741760;False
0;0;0,00131158;0;0;0;0;2815200;False
0,003267974;0,003267974;0,21057402731578803;75,20445334524315;494;76,18162470187185;87;2496960;True
0;0;0,4678060549128944;0;0;0;0;2766240;True
0,21484375;0,21484375;0,20430590474948784;0;0;0;0;3133440;True
0;0;0,8192639907592149;0;0;0;0;2350080;True
0;0;0,017393318615649744;0;0;0;0;2790720;False
0;0;0,22055844910581035;0;0;0;0;3686400;True
0,002083333;0,002083333;0,001785361;0;0;0;0;3686400;False
0,00059988;0,00059988;0,015449873;0;0;0;0;4167500;False
0,002949853;0,002949853;0,034339199206120274;0;0;0;0;2766240;False
1;1;0,8720248612166553;0;0;0;0;3732480;True
0,047935103;0,047935103;0,2551545533543717;0;0;0;0;2766240;True
0,00779844;0,00779844;0,4135132866443507;0;0;0;0;4167500;True
