ChiSqrHorizontalRelativeVolume;RsRelativeVolume;KzhaHorizontalThreshold;KzhaHorizontalBitsVolume;Noise;Sharpness;Blur;Contrast;EntropyShennon;EntropyRenyi11;PixelsNum;IsDataHided
0,012;0,45609981090254315;0;0;30,07472374182302;246;0,15244497346252828;0,5015962566725973;7,9037713547724975;7,897874802651576;250000;False
1;0;0;0;19,462881847612223;239;0,21829263145918337;0,4321141121903454;7,1510207214925074;7,110821538802776;150000;True
0,044776119;0,505091646;0;0;20,779067664468528;220;0,28283790264320857;0,4682329941279522;7,704058036189655;7,681103960864008;167500;True
0,6096096096096096;0,20920573314243526;0;0;16,357529643446192;250;0,2518000299437768;0,6677437543410457;7,538246910930168;7,488107498549214;166500;True
0,122;0,058855509;0;0;12,075022299657347;237;0,32133943427600814;0,4741240031191674;7,638345568317134;7,612703170080644;154500;False
0;0,019381128251218394;0;0;10,356576728636693;225;0,38204023749665417;0,4021069702024005;7,265275178232589;7,227082999797482;187500;False
0,004966887;0,062379545;0;0;6,516627494277659;199;0,762635412;0,5581591656008122;7,007447587067935;6,972194543859451;254284;False
0,002;0,063194672;0;0;6,014704961271226;251;0,3071978462192028;0,5735669604860174;7,584405804933859;7,550146047200154;199000;False
1;0,5488681686723549;0;0;23,04048159303907;237;0,21198498153235548;0,7552301058391491;7,7738011468845984;7,753671399388351;166500;True
0,55;0,49071957902165847;0;0;8,111220835;213;0,48530370953164903;0,48314731713907716;7,413347039468802;7,369921775727577;187500;True
0,008982036;0,20696143094236388;0;0;25,014540182292755;252;0,26950263047478085;0,6469510208158634;7,737920663626086;7,709796497;167000;False
0;0,1422632912682705;0;0;9,606149251056854;141,42135623730948;0,7583553662755547;0,8519727010629914;7,398201601346374;7,349926573028246;239500;False
0,474;0,1943370199613453;0;0;3,110095260263523;95;0,7909119376056012;0,24032176993517057;6,381488799950077;6,300487634345759;245000;True
0,30758226037195996;0,7477128109348451;0;0;5,232909465009771;154;0,9586448488286347;0,5798819141897129;6,613997629427941;6,574190670171974;366975;True
0;0,026851758864771594;0;0;5,1052902633150685;252;0,34170040485557335;0,7344285794009722;7,783307137096415;7,763134697615774;1688000;False
0,6149253731343284;0,24251713278627526;0;0;12,544939601742996;248;0,2973765177302492;0,7115387114659782;7,800920112326242;7,781146458228374;167500;True
0,015015015015015015;0,23855865305823665;0;0;24,88792440306191;244;0,29290535726542294;0,575924274;7,6680609662002315;7,643365122869966;166500;False
0,054;0,035220338;0;0;7,743922954414252;221;0,38510357745823814;0,4359537904550413;7,339343781047131;7,290260781716226;187500;False
0,022;0,075041089;0;0;15,24012100358886;222;0,2608401402426534;0,42691431328429047;7,648363282309647;7,620048140598727;166500;False
0,013761467889908258;0,09739307;0;0;19,843626073548183;219;0,49611189371403863;0,7734526533306627;7,6252113348846615;7,590241009473326;218000;False
0,218;0,1222624677535738;0;0;10,715556985204907;250;0,25383496610953904;0,4715348218043512;7,742428569590826;7,722298412786043;166500;True
0,222;0,5071844792721046;0;0;13,237791365244727;223;0,24252872723535165;0,7211593998323415;7,8796498723878825;7,868950609957946;166000;True
0,002;0,027363826141499303;0;0;1,3095610575955487;229;0,36595719764616563;0,8110699846833977;7,488387421554638;7,455474953574103;187500;False
0,036;0,28408446350264077;0;0;12,676045886532672;249;0,24704253731238945;0,4989469623619843;7,479105602015174;7,430130932620529;166500;True
0,124;0,60995032;0;0;3,4363540163405517;151;0,4226114326907715;0,5771858944554278;5,837526435261288;5,515473619528645;221000;True
0,002;0,39916268581721753;0;0;5,1960083694360275;221;0,3249015970238341;0,5253236606380461;7,663632887768694;7,638345266;165500;True
0,002;0,025521745978669113;0;0;7,269202386219104;242;0,6824344297306185;0,3710106187484438;7,258415763993369;7,214829214801329;187000;False
0,030640669;0,2678187613486319;0;0;21,978148145484578;252;0,258908172;0,7804650737443947;7,612003747365007;7,563628698078181;179500;True
0,692;0,29432769918444657;0;0;17,538528605934125;202;0,23441162681699151;0,38685455870561775;7,7088586709136875;7,6847244006924464;250000;True
0;0,11117841911773241;0;0;2,945297011342236;237;0,35977089789215644;0,5599906998104025;7,283723552611216;7,193496051139617;187500;False
0;0,065923431;0;0;0,16221698182235963;239;0,8017020818176844;0,5540919282699525;5,083175223350969;4,724873551045337;327448;False
0;0,4254049594797859;0;0;2,276365461027835;65,76093065034891;1,3018271062150617;0,39302842053547127;6,405773296544926;6,130563607763188;1051875;True
0;0,5702182723086975;0;0;10,477737829738285;218;0,2718257459265901;0,6216687293167795;7,565607634349901;7,545266423796249;1705600;True
0,00093633;0;0;0;6,667698016113827;239;0,37098436776521315;0,6320249864148325;7,700923771648968;7,682883512645352;1708800;True
0;0,004766087;0;0;1,224092466748168;174;1,863595185731988;0,5125604482853758;6,900741698972087;6,847609095588335;4320000;False
0;0,078759998;0;0;8,494213759;223;0,4795126616914439;0,5639248116292991;7,209636685467061;7,127944550398765;187500;False
1;0,7814821808226368;0;0;12,665994313897691;204;0,34570564227382966;0,3773518838862294;7,482990059463236;7,4591591897880205;154500;True
0,06;0,15906705295810353;0;0;8,940772856191085;202;0,3589660916761663;0,3939878267030343;7,539896340676507;7,506773086324161;167000;True
0,912;0,7254304344956184;0;0;9,057859043550952;217;0,47614172834644714;0,6078364063765532;7,4946996424054015;7,470363957158272;200000;True
1;1,0154447660475003;0;0;16,65709212215255;251;0,2664200347865797;0,5375901732452135;7,735373794410975;7,713642231270309;166500;True
0,002666667;0,024371933;84,75018261850012;15;11,42682907491946;208;0,43858520599465606;0,4131905678734802;7,596271339;7,571562435695531;187500;True
0,24324324324324326;0,7242822001019763;0;0;19,937772497240605;247;0,20386997870684967;0,5674766091806326;7,566650664463573;7,519828316891705;166500;True
0,005988024;0,2298110075645359;0;0;12,361882439403422;231;0,29088198203836846;0,6512361493468328;7,5173785535352335;7,474624316874676;167000;False
0,972;0,5289427081118011;0;0;5,218553089383015;247;0,4907580445053173;0,574101229;7,532935194604034;7,503137105570236;187500;True
0,5015015015015015;0,6874708654221918;0;0;14,797876827117681;246;0,20445879817515267;0,4619968982426356;7,6813350033919985;7,657803551665191;166500;True
0,352;0,27774960753159006;0;0;19,362051992707517;221;0,30480031745271446;0,5646510207800517;7,791609969636355;7,775259676443854;159000;True
0,037333333333333336;0,17073305767676752;0;0;8,629542473852881;211;0,44193764318757267;0,29521442631887995;6,382366370039839;6,296305392250196;187500;True
